title,Latitude,Longitude,Link
"Brgy. Bagumbayan, Teresa Rizal",14.5501,121.2185,https://www.unionbankph.com/foreclosed-properties/5403
"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",8.4942,124.6359,https://www.unionbankph.com/foreclosed-properties/6050
"Subdivision, Phase 1 The Island Park, Barangay Paliparan III, Dasmari±as City, Province Of Cavite",14.3294,120.959,https://www.unionbankph.com/foreclosed-properties/6235
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6254
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6275
"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",14.2786,121.4153,https://www.unionbankph.com/foreclosed-properties/3457
"BRGY. ABANGAN NORTE, MARILAO, BULACAN",14.7575,120.9486,https://www.unionbankph.com/foreclosed-properties/5963
"Brgy Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6247
"SUBDIVISION, BRGY. TUBIGAN, BIčAN, PROVINCE OF LAGUNA",14.3125,121.0806,https://www.unionbankph.com/foreclosed-properties/5708
"Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon Province",13.9314,121.6176,https://www.unionbankph.com/foreclosed-properties/6671
"Brgy. Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6268
"Barangay 183, Pasay City, Metro Manila",14.5189,121.0195,https://www.unionbankph.com/foreclosed-properties/6639
"Subdivision, Pulo, Maestra Vita, Oton, Iloilo City",10.6931,122.4445,https://www.unionbankph.com/foreclosed-properties/7064
"Building East, Azure Urban Resort, Barangay Marcelo Green, Para±aque City, Metro Manila",14.478,121.038,https://www.unionbankph.com/foreclosed-properties/3303
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Barangay Pulang Lupa Dos, Las Pi±as City, Metropolitan Manila",14.4507,120.9825,https://www.unionbankph.com/foreclosed-properties/5080
"Barangay Santolan, City of Pasig",14.5989,121.085,https://www.unionbankph.com/foreclosed-properties/5379
"Building Camella Northpoint Condominium Complex Brgy. Bajada, Davao City",7.092,125.613,https://www.unionbankph.com/foreclosed-properties/5505
"SUBDIVISION, BRGY. TALON DOS, LAS PIčAS CITY",14.4445,120.981,https://www.unionbankph.com/foreclosed-properties/5856
"Subdivision, Phase 3A, Barangay Lantic, Carmona, Cavite",14.313,121.057,https://www.unionbankph.com/foreclosed-properties/6215
"Barangay Majada Labas And Phase II, Barangay Barandal, Calamba City, Laguna",14.1942,121.1055,https://www.unionbankph.com/foreclosed-properties/6240
"Brgy. Barandal, Calamba City Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6275
"Subdivision, Phase 1, Barangay San Vicente, Municipality Of San Pedro, Province Of Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/6317
"Building 3, Maui Oasis, Anonas Street, Barangay 630, Zone 63, Sta. Mesa, Manila City",14.598,121.017,https://www.unionbankph.com/foreclosed-properties/6678
"Barangay Buhay na Tubig, Imus City, Cavite",14.406,120.941,https://www.unionbankph.com/foreclosed-properties/3268
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Barangay Fort Bonifacio, Taguig City, Metro Manila",14.5438,121.0453,https://www.unionbankph.com/foreclosed-properties/4325
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Brgy. San Roque, Antipolo",14.625,121.176,https://www.unionbankph.com/foreclosed-properties/5497
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/5836
"Barangay Poblacion, Makati City, Metro Manila",14.5674,121.0319,https://www.unionbankph.com/foreclosed-properties/6214
"Barangay Barandal, Canlubang, Calamba City, Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6239
"Building 15, Unit 15-B-2, Urci Townhomes, Brgy Pamplona Tres, Las Pi±as City, Metropolitan Manila",14.45,120.982,https://www.unionbankph.com/foreclosed-properties/6315
"Barangay 696, Zone 76, Manila",14.5995,120.9842,https://www.unionbankph.com/foreclosed-properties/6677
"Subdivision, Barangay San Gregorio, Laurel, Batangas",14.083,120.9,https://www.unionbankph.com/foreclosed-properties/3219
"Barangay Tandang Sora, Quezon City, Metro Manila",14.676,121.056,https://www.unionbankph.com/foreclosed-properties/3428
"Brgy. Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/4300
"Subdivision, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5361
"Brgy. Katipunan, Quezon City",14.65,121.07,https://www.unionbankph.com/foreclosed-properties/5449
"BARANGAY MATUNGAO, MUNICIPALITY OF BULACAN, PROVINCE OF BULACAN",14.79,120.97,https://www.unionbankph.com/foreclosed-properties/5711
"BRGY. PULANG LUPA DOS, LAS PIčAS CITY",14.4507,120.9825,https://www.unionbankph.com/foreclosed-properties/6054
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323,https://www.unionbankph.com/foreclosed-properties/6676
"Brgy. Rizal, Santiago City, Isabela",16.692,121.552,https://www.unionbankph.com/foreclosed-properties/3210
"Building 2 (Zurich Building), Aurora Boulevard corner Balete Drive, Barangay Kaunlaran, New Manila District, Quezon City, Metro Manila",14.626,121.045,https://www.unionbankph.com/foreclosed-properties/3423
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/5836
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Brgy. Katipunan, Quezon City",14.65,121.07,https://www.unionbankph.com/foreclosed-properties/5449
"Barangay San Jose, San Pablo City, Laguna",14.07,121.325,https://www.unionbankph.com/foreclosed-properties/6670
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"BRGY MATINA, DAVAO CITY",7.07,125.6,https://www.unionbankph.com/foreclosed-properties/5583
"BRGY. TALON TREA, LAS PIčAS CITY",14.444,120.981,https://www.unionbankph.com/foreclosed-properties/6030
"Brgy. Majada, Calamba City, Province Of Laguna",14.1942,121.1055,https://www.unionbankph.com/foreclosed-properties/6222
"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5363
"Barangay Kaunlaran, Quezon City",14.626,121.045,https://www.unionbankph.com/foreclosed-properties/5454
"BRGY. STO. CRISTO SUR GAPAN CITY, NUEVA ECIJA",15.31,120.95,https://www.unionbankph.com/foreclosed-properties/6059
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323,https://www.unionbankph.com/foreclosed-properties/6673
"Subdivision, Timberland Heights, Barangay Gitnang Bayan II, San Mateo, Rizal",14.676,121.123,https://www.unionbankph.com/foreclosed-properties/3369
"Barangay Socorro, Cubao District, Quezon City, Metro Manila",14.619,121.056,https://www.unionbankph.com/foreclosed-properties/4822
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Barangay Bagtas, Municipality Of Tanza, Province Of Cavite",14.311,120.83,https://www.unionbankph.com/foreclosed-properties/5491
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/5836
"Barangay Majada Labas, Calamba City, Laguna",14.1942,121.1055,https://www.unionbankph.com/foreclosed-properties/6212
"Brgy. Hulo, Mandaluyong",14.5703,121.0323,https://www.unionbankph.com/foreclosed-properties/6675
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/5836
"Brgy. Poblacion, Makati City, Metro Manila",14.5674,121.0319,https://www.unionbankph.com/foreclosed-properties/4286
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
Brgy. Ugong Pasig City,14.583,121.067,https://www.unionbankph.com/foreclosed-properties/5445
"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",14.45,121.05,https://www.unionbankph.com/foreclosed-properties/5699
"Subdivision, Barangay Kauswagan, Cagayan de Oro City, Misamis Oriental",8.4942,124.6359,https://www.unionbankph.com/foreclosed-properties/6050
"Barangay Majada Calamba City, Province Of Laguna",14.1942,121.1055,https://www.unionbankph.com/foreclosed-properties/6248
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6254
"Barangay Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6254
"Subdivision, Gran Europa, Brgy. Lumbia, Cagayan De Oro City",8.45,124.6,https://www.unionbankph.com/foreclosed-properties/6668
"Subdivision, Barangay Jibao-an, Pavia, Iloilo",10.746,122.537,https://www.unionbankph.com/foreclosed-properties/3318
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Barangay Niuyugan, Laurel, Batangas",14.083,120.9,https://www.unionbankph.com/foreclosed-properties/5330
"Brgy. Kaypian San Jose Del Monte, Bulacan",14.813,121.045,https://www.unionbankph.com/foreclosed-properties/5396
"BRGY. STO. NIčO, TUGBOK DISTRICT, DAVAO CITY",7.03,125.5,https://www.unionbankph.com/foreclosed-properties/5671
"BRGY. BAGTAS, TANZA, CAVITE",14.311,120.83,https://www.unionbankph.com/foreclosed-properties/6047
Building Brgy. Mabolo Cebu City,10.323,123.918,https://www.unionbankph.com/foreclosed-properties/6659
"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",14.2786,121.4153,https://www.unionbankph.com/foreclosed-properties/3457
"Barangay Bagumbayan, Quezon City, Metro Manila",14.608,121.0823,https://www.unionbankph.com/foreclosed-properties/5836
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Barangay Niuyugan, Laurel, Batangas",14.083,120.9,https://www.unionbankph.com/foreclosed-properties/5330
"Subdivision, Barangay Ususan, Taguig City",14.533,121.05,https://www.unionbankph.com/foreclosed-properties/5394
"Subdivision, Barangay Candau-ay Dumaguete City, Negros Oriental",9.307,123.308,https://www.unionbankph.com/foreclosed-properties/5512
"Barangay Talon Tres, Las Pi±as City, Metropolitan Manila",14.444,120.981,https://www.unionbankph.com/foreclosed-properties/5945
"Barangay Fairview, Quezon City, Metro Manila",14.6996,121.0641,https://www.unionbankph.com/foreclosed-properties/6513
"Barangay San Antonio, Pasig City, Metro Manila",14.583,121.067,https://www.unionbankph.com/foreclosed-properties/3305
"Building Camella Northpoint Condominium Complex, Davao City",7.092,125.613,https://www.unionbankph.com/foreclosed-properties/5507
"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",14.45,121.05,https://www.unionbankph.com/foreclosed-properties/5699
"Brgy Barandal, Calamba City, Province Of Laguna",14.1883,121.1306,https://www.unionbankph.com/foreclosed-properties/6247
"Barangay Poblacion, Makati City M.M.",14.5674,121.0319,https://www.unionbankph.com/foreclosed-properties/6318
"Barangay Fairview, Quezon City, Metro Manila",14.6996,121.0641,https://www.unionbankph.com/foreclosed-properties/6513
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312,https://www.unionbankph.com/foreclosed-properties/3440
"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5363
"Barangay Katipunan, Quezon City",14.65,121.07,https://www.unionbankph.com/foreclosed-properties/5455
"Barangay Bucandala IV, Imus City, Cavite",14.406,120.941,https://www.unionbankph.com/foreclosed-properties/6208
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323,https://www.unionbankph.com/foreclosed-properties/6674
"Building 2, Aurora corner Balete Drive, Barangay Kaunlaran, Quezon City",14.626,121.045,https://www.unionbankph.com/foreclosed-properties/3388
"Barangay Sto. Cristo, Quezon City, Metro Manila",14.676,121.056,https://www.unionbankph.com/foreclosed-properties/3458
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Barangay 396, Zone 41 (Sampaloc), Manila City",14.61,121.02,https://www.unionbankph.com/foreclosed-properties/5428
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Subdivision, Brgy. Abilay Norte, Oton, Iloilo City",10.6931,122.4445,https://www.unionbankph.com/foreclosed-properties/3148
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542,https://www.unionbankph.com/foreclosed-properties/5368
"Subdivision, Barangay Jibao-an, Pavia, Iloilo City",10.746,122.537,https://www.unionbankph.com/foreclosed-properties/3153
